"VariableName","Value","ValueLabel"
"Undergraduate level distance education courses offered (IC2020)","1","Yes"
"Undergraduate level distance education courses offered (IC2020)","0","Implied no"
"Undergraduate level distance education programs offered (IC2020)","1","Yes"
"Undergraduate level distance education programs offered (IC2020)","0","Implied no"
"Graduate level distance education courses offered (IC2020)","1","Yes"
"Graduate level distance education courses offered (IC2020)","0","Implied no"
"Graduate level distance education courses offered (IC2020)","-2","Not applicable"
"Graduate level distance education programs offered (IC2020)","1","Yes"
"Graduate level distance education programs offered (IC2020)","0","Implied no"
"Graduate level distance education programs offered (IC2020)","-2","Not applicable"
